Date,Close/Last,Volume,Open,High,Low
09/09/2022,$110.65,23213590,$109.065,$110.99,$109.02
09/08/2022,$108.38,24238290,$108.04,$109.6,$107.16
09/07/2022,$109.45,23166970,$107.06,$109.98,$106.9
09/06/2022,$106.81,25068280,$107.3,$108.03,$105.78
09/02/2022,$107.85,24160710,$110.59,$110.74,$107.26
09/01/2022,$109.74,28360930,$108.28,$110.445,$107.36
08/31/2022,$108.22,28626970,$110.65,$110.85,$108.13
08/30/2022,$108.94,27513260,$110.17,$110.5,$107.8
08/29/2022,$109.42,21191160,$109.99,$110.95,$108.8
08/26/2022,$110.34,37245700,$114.72,$115.12,$110.19
08/25/2022,$116.65,16956790,$114.235,$116.72,$114.11
08/24/2022,$113.69,17734620,$113.5,$114.78,$112.8701
08/23/2022,$113.86,15870370,$113.475,$115.01,$113.43
08/22/2022,$114.24,21456650,$115.2,$115.63,$113.85
08/19/2022,$117.21,21809530,$119.06,$119.15,$116.76
08/18/2022,$120.17,17987660,$119.43,$120.82,$118.72
08/17/2022,$119.55,22846960,$120.12,$121.29,$119.38
08/16/2022,$121.7,19041230,$121.52,$122.43,$120.64
08/15/2022,$122.08,19494830,$121.13,$122.3,$120.61
08/12/2022,$121.68,19096270,$120.26,$121.68,$119.46
